date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,playback_location_detail,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,GGZ18mYRkOU,on_demand,subscribed,IN,10,unknown,1,0.87666666666666671,52.6,103.13725490196079,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,NA_-2wpSdrY,on_demand,subscribed,IN,0,unknown,10,7.4616666666666669,44.769999999999996,1.219891008174387,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,jQLnLFjQ-EU,on_demand,subscribed,IN,10,unknown,2,0.96833333333333338,29.05,78.513513513513516,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,ODApKhgP3j8,on_demand,subscribed,IN,0,unknown,1,0.435,26.1,0.59862385321100919,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,af1TdkjuagE,on_demand,not_subscribed,IN,0,unknown,1,0.35,21,0.8936170212765957,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,CcVFLb04QmI,on_demand,subscribed,IN,0,unknown,6,0.81518333333333337,8.1518333333333342,0.21571403369498104,1,0.015
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,ByuP6kA5_8g,on_demand,subscribed,IN,7,/my_subscriptions,1,0.46666666666666667,28,1.0010725777618876,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,2icgivhWB0U,on_demand,not_subscribed,IN,0,unknown,1,0,0,0,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,F9VjrwvQqC8,on_demand,subscribed,IN,10,unknown,2,1.55,46.5,77.5,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,ng0sDjiDITc,on_demand,subscribed,IN,0,unknown,1,0.11666666666666667,7,0.14456836018174307,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,Luh-jZZ8loE,on_demand,not_subscribed,IN,0,unknown,7,0.611,5.2371428571428567,0.19556171983356449,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,bMqVJHbD-0Q,on_demand,not_subscribed,IN,0,unknown,4,33.735,506.025,10.539991668402417,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,QQdQZKyjScE,on_demand,subscribed,IN,10,unknown,1,0.068333333333333329,4.1,12.058823529411764,0,0
date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,playback_location_detail,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,RBLhTDVynUg,on_demand,not_subscribed,IN,0,unknown,2,0.3,9,0.24089935760171305,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,opsbFBLvtsM,on_demand,not_subscribed,IN,0,unknown,1,0.081666666666666665,4.9,0.12192087583976113,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,lijG3JhJQXY,on_demand,subscribed,IN,0,unknown,3,23.27,465.40000000000003,12.639869636067354,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,bGXNBLQozkc,on_demand,not_subscribed,LK,0,unknown,1,0.77621666666666667,46.573,1.2350304958896845,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,3qnekV01J9k,live,subscribed,IN,7,what-to-watch,2,0.87666666666666671,26.3,0.74737141233304916,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,KeH5IoPlyQQ,on_demand,subscribed,IN,10,unknown,2,0.42666666666666669,12.8,41.29032258064516,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,bGXNBLQozkc,on_demand,subscribed,IN,7,what-to-watch,1,0.26853333333333335,16.112,0.42726067356138953,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,Y6TtP54oNBk,on_demand,subscribed,IN,7,what-to-watch,1,0.45166666666666666,27.1,0.72518062617072521,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,WL03wmawFP8,on_demand,subscribed,IN,0,unknown,1,0.048333333333333332,2.9,0.055876685934489405,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,snfQi-mwU8Y,on_demand,not_subscribed,IN,0,unknown,1,0.20166666666666666,12.1,0.32086979581012992,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,Op89IbOgp4s,on_demand,subscribed,IN,0,unknown,4,5.2416666666666663,78.625,2.5686050310356094,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,bVC5o0CPL2U,on_demand,subscribed,IN,0,unknown,1,0,0,0,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,X5fmeA79UyM,on_demand,not_subscribed,IN,0,unknown,2,4.3128166666666665,129.3845,4.9383396946564888,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,-W4RgHBKOJo,on_demand,not_subscribed,IN,0,unknown,1,4.418333333333333,265.1,3.5970149253731343,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,e6tDMVKmC60,on_demand,not_subscribed,IN,0,unknown,1,21.568333333333332,1294.1,12.908728179551122,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,1dbiNX6VYqA,on_demand,not_subscribed,IN,0,unknown,1,11.438,686.28,24.982890425919184,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,h68QckkOl0U,on_demand,not_subscribed,IN,0,unknown,6,3.6673833333333334,36.673833333333334,0.99630082405143527,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,OHE6XwOXhQg,on_demand,subscribed,IN,0,unknown,2,4.4075,132.225,3.359375,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,vsoHBBD8-es,on_demand,not_subscribed,IN,0,unknown,1,0.305,18.3,0.52661870503597119,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,3qnekV01J9k,live,not_subscribed,IN,0,unknown,8,24.913333333333334,186.85,5.3097470872406936,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,xOB7XrJOHVw,on_demand,not_subscribed,IN,0,unknown,1,0.93598333333333328,56.159,1.0885636751308394,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,6mGF3T6VspY,on_demand,not_subscribed,IN,0,unknown,1,0.52095,31.257,0.31307091346153848,0,0
