date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,traffic_source_type,device_type,operating_system,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,live,subscribed,IN,0,3,101,2,4,276.536,4148.04,67.283698296836988,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,W3k9XmZekWc,on_demand,subscribed,IN,10,4,105,4,1,0.1,6,12.76595744680851,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,xOB7XrJOHVw,on_demand,not_subscribed,IN,0,18,104,4,1,0.035,2.1,0.0407055630936228,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,W3k9XmZekWc,on_demand,subscribed,IN,10,4,104,4,1,0.75,45,95.744680851063833,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,HKkkCBGUA4U,on_demand,subscribed,IN,0,4,104,4,1,0.43333333333333335,26,1.0337972166998013,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,live,not_subscribed,IN,0,5,104,4,4,1.5933333333333333,23.9,0.38767234387672345,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,tnTx-mDizc4,on_demand,not_subscribed,IN,0,18,104,4,1,0.0016666666666666668,0.1,0.0024624476729869491,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,live,not_subscribed,IN,0,7,101,2,1,0.21618333333333334,12.971,0.21039740470397406,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,f2nce-SulGg,on_demand,not_subscribed,IN,10,24,104,4,1,0.16666666666666666,10,47.61904761904762,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,on_demand,subscribed,IN,0,4,105,4,1,0.066666666666666666,4,0.089827082865483937,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,on_demand,subscribed,IN,0,4,104,4,4,1.2983333333333333,19.475,0.43734560970132497,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,OArTfsrz3M0,on_demand,not_subscribed,IN,0,4,104,4,1,0.25,15,0.46511627906976744,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,-k2t7x9f_gk,on_demand,subscribed,IN,0,4,104,4,2,60.853333333333332,1825.6,28.922686945500633,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,h68QckkOl0U,on_demand,subscribed,IN,0,4,101,2,1,0.19905,11.943,0.32444987775061124,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,X5fmeA79UyM,on_demand,not_subscribed,IN,0,8,104,4,1,3.3733333333333335,202.4,7.7251908396946565,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,on_demand,not_subscribed,IN,0,3,104,4,5,0.85,10.2,0.16545012165450121,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,dhO9gFAho8M,on_demand,not_subscribed,IN,0,18,104,4,1,3.455,207.3,9.4270122783083217,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,bVC5o0CPL2U,on_demand,subscribed,IN,0,4,104,4,1,2.8666666666666667,172,3.6379018612521152,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,X5fmeA79UyM,on_demand,not_subscribed,IN,0,4,104,4,1,0.21833333333333332,13.1,0.5,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,XpGGcvIW0Jk,on_demand,not_subscribed,IN,0,3,104,5,1,1.909,114.54,1.4496899126692824,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,on_demand,not_subscribed,IN,7,3,104,4,1,0.21666666666666667,13,0.21086780210867803,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,c_k07vQ6zP8,live,not_subscribed,IN,0,5,102,4,1,0.1929,11.574,0.16901285046728973,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,nBffL6ylOxQ,on_demand,not_subscribed,KW,0,3,104,4,1,0.34833333333333333,20.9,0.69759679572763689,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,c_k07vQ6zP8,on_demand,not_subscribed,IN,0,4,101,2,1,1.3605166666666666,81.631,1.1920414719626169,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,BWX4_McBmQc,on_demand,subscribed,IN,0,8,101,13,2,3.9875333333333334,119.626,7.1205952380952384,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,on_demand,subscribed,IN,0,8,104,4,1,0,0,0,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,live,subscribed,IN,0,3,104,4,8,85.373333333333335,640.3,14.379070289692342,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,on_demand,subscribed,IN,0,4,104,4,1,1.15,69,1.0153031194820483,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,live,subscribed,IN,7,3,104,4,1,2.0316666666666667,121.9,2.7374803503256233,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,MBq8uE2jMhE,on_demand,not_subscribed,JP,7,3,104,4,1,0.55,33,0.80389768574908649,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,KeH5IoPlyQQ,on_demand,not_subscribed,IN,10,7,104,4,2,0.71833333333333338,21.55,69.516129032258064,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,OCosxGEstYM,on_demand,not_subscribed,IN,7,3,101,9,1,0.33605,20.163,0.93088642659279774,0,0
